#{"t_start": 1777634231.6954997, "env_id": "crossy-road-notebook/CrossyRoad-v0"}
r,l,t
-5.75,49,0.248424
-4.15,13,0.281009
-4.9,10,0.32009
-3.45,8,0.355706
-5.2,43,0.458152
-3.7,27,0.562809
-3.35,20,0.646383
-2.9,12,0.679937
-4.7,41,0.836579
-5.4,15,0.891174
-7.45,51,1.05338
-4.3,14,1.113455
-5.6,17,1.175059
-2.9,32,1.304953
-0.05,25,1.398049
-5.55,27,1.497386
-6.2,23,1.579306
-3.85,10,1.606841
-4.75,69,4.800764
-2.6,64,6.844893
-4.25,28,7.032709
-4.35,26,7.208899
-4.6,7,7.25395
-5.2,13,7.355169
-5.75,39,7.592066
-7.7,48,7.899649
-3.8,9,7.946706
2.5,21,8.072727
-6.15,44,8.327348
-10.7,90,8.93267
-4.0,21,9.085316
-11.0,71,9.499351
-5.0,11,9.569926
-1.45,20,17.152333
-4.2,3,17.175905
3.1,61,20.456221
-7.7,38,20.747556
-3.85,42,21.081404
-7.7,48,21.500478
-4.05,12,21.607319
2.7,20,21.770859
-4.1,2,21.795331
-4.7,8,21.882077
-3.35,50,22.255587
-4.4,5,22.294926
-2.2,4,22.32804
-3.2,14,22.448331
-3.9,10,22.518954
-6.25,46,22.779441
3.0,25,22.923409
-4.9,10,22.979703
-1.6,49,23.258194
-2.95,12,23.323441
-3.45,6,23.365545
-4.8,9,23.428303
-4.9,20,27.086652
-4.0,42,29.405477
-2.55,18,29.497179
2.0,54,29.801989
-3.6,18,29.913768
-2.15,31,30.115601
-4.9,10,30.181688
-4.1,12,30.268295
-4.3,4,30.295363
0.65,21,30.415545
-4.6,17,30.518619
-4.65,18,30.615259
-3.15,14,30.695551
-5.7,28,30.852047
-4.1,2,30.87261
-1.25,28,31.046325
-6.75,51,31.321206
-1.15,13,31.397287
-1.65,18,31.509524
-1.9,54,31.901477
-2.7,11,31.968794
-7.85,50,34.365952
-4.5,6,34.424825
-2.0,13,34.519104
-1.65,48,38.017637
2.05,23,38.24435
-4.3,14,38.378708
0.3,10,38.459789
-1.95,34,38.660837
-2.2,15,38.759112
-2.45,6,38.791347
-4.1,12,38.863409
-4.5,6,38.8961
-4.15,55,39.200429
-3.5,8,39.253011
0.9,33,39.442932
0.45,8,39.49193
-5.3,14,39.58249
2.5,18,39.679084
-4.3,4,39.701648
-2.05,13,39.782561
-3.4,5,39.818165
1.4,28,39.967583
-2.1,12,40.033777
-3.15,3,40.055834
-4.5,6,40.09069
2.55,28,40.287125
-0.6,8,40.340293
-4.4,5,40.3743
-2.85,40,40.948406
-1.65,10,41.022959
-4.15,13,41.096679
-2.9,14,41.178389
5.9,35,43.969486
-4.3,4,43.999667
-4.2,3,44.019838
-1.6,8,44.079524
-0.5,7,44.132136
-2.8,9,44.190264
-1.7,9,44.242593
0.9,15,44.336691
-1.35,25,44.505522
-1.65,10,44.557254
-2.25,15,44.650809
-3.45,6,44.68627
1.35,19,44.816949
-4.5,6,44.866181
8.1,33,45.084147
-3.4,19,45.203082
-3.7,8,45.256245
-4.8,19,45.37089
1.15,22,45.528139
-1.95,13,45.615155
4.45,28,45.778547
-2.6,7,45.829777
-1.05,13,45.913701
0.85,13,45.992917
-3.1,22,46.142238
-2.05,12,46.209064
-3.2,3,46.235505
-5.2,13,46.328419
-4.1,2,46.34781
-5.2,13,46.448918
-5.0,11,46.542482
4.65,18,46.662453
1.7,27,47.17086
-3.5,6,47.213251
-1.05,14,47.28706
-2.35,5,47.320079
4.6,17,47.423762
2.85,18,47.548135
18.15,72,50.59376
-1.65,18,50.703991
-3.4,5,50.737057
