#{"t_start": 1777634231.6899936, "env_id": "crossy-road-notebook/CrossyRoad-v0"}
r,l,t
-4.7,8,71.300296
-4.2,3,71.327409
2.05,11,71.411078
-4.1,2,71.429894
4.2,11,71.521969
-4.8,20,71.713565
-1.85,10,71.806545
-4.2,3,71.832886
0.75,18,71.971879
-3.55,7,72.024931
1.85,14,72.121597
-0.5,8,72.180906
-4.3,4,72.212879
9.0,24,72.35954
-3.2,13,72.455864
-3.2,4,72.47985
3.15,12,72.548145
-2.35,5,72.580602
-2.7,8,72.628495
-0.45,7,72.677306
-4.5,6,72.733042
0.45,19,72.859479
-4.1,2,72.878149
6.9,33,73.107224
-3.75,9,73.162221
-1.7,9,73.218909
10.3,21,73.362132
-2.4,6,73.407495
-1.5,8,73.471053
-3.25,5,73.517592
-5.1,12,73.974273
5.7,28,74.167223
6.7,18,74.308352
-3.3,4,74.342804
-3.35,5,74.405643
8.9,25,74.603365
-4.5,6,74.648513
-4.2,3,74.667972
-2.35,5,74.711548
0.3,10,74.779563
2.7,17,77.479433
2.35,21,77.634145
-0.4,17,77.777104
5.25,21,77.935341
-3.35,5,77.973079
-3.5,6,78.013633
-4.5,6,78.05179
1.35,28,78.231682
2.2,11,78.315523
3.4,19,78.449016
-4.2,3,78.469018
5.0,15,78.575381
-2.55,7,78.618737
-3.4,5,78.646892
-1.5,7,78.690171
-2.3,4,78.718325
4.25,22,78.851864
-2.0,12,78.923751
1.65,17,79.01786
-0.5,7,79.059366
8.85,27,79.224027
3.6,19,79.336321
1.4,8,79.401549
-0.3,6,79.442547
-2.85,11,79.517187
-3.25,4,79.541266
-0.4,16,79.632501
-2.7,8,79.693685
-0.9,13,79.777967
2.4,18,79.910582
-1.05,13,80.380914
-4.1,2,80.399004
-4.1,2,80.420452
-2.55,7,80.47207
-1.3,5,80.510535
-3.75,19,80.636442
-7.0,41,80.916648
2.75,26,81.124865
-1.45,7,81.196139
-3.3,4,81.227164
7.25,21,84.171608
-1.7,20,84.316618
-2.6,8,84.380706
-1.55,7,84.435438
-4.75,29,84.635389
-0.65,22,84.784988
-2.25,4,84.812127
9.8,46,85.089828
-4.1,2,85.102883
-1.35,6,85.149893
-1.25,5,85.181889
3.55,18,85.277582
-0.35,6,85.320244
-0.55,7,85.364
-1.1,13,85.449905
-0.3,18,85.554707
-4.7,8,85.614499
-2.5,6,85.654735
0.75,14,85.751176
1.35,10,85.81681
0.35,11,85.886589
-0.65,9,85.948676
-4.7,8,86.001077
-4.1,2,86.016515
-3.65,8,86.067964
2.35,10,86.130701
-4.3,4,86.157703
1.9,16,86.255723
-1.45,6,86.298906
4.1,43,86.897382
-2.35,15,86.993852
-3.65,40,87.234178
6.6,38,87.458451
-4.2,3,87.483455
-3.35,5,87.523268
-1.75,9,87.577401
0.3,9,87.64861
-0.75,9,87.705626
-3.05,14,90.629185
-2.7,8,90.694408
-1.3,16,90.852477
0.25,9,90.946416
-3.4,5,91.002731
-4.3,4,91.056006
4.25,21,91.233279
-1.6,8,91.309111
-3.3,4,91.33825
-3.5,6,91.389253
-3.15,3,91.410714
1.2,13,91.494113
-2.25,4,91.520785
-1.5,7,91.571791
-0.6,29,91.760287
0.15,11,91.839396
2.5,20,91.988784
-2.5,6,92.061258
-1.3,5,92.120969
-2.6,7,92.18434
0.3,22,92.40373
-0.8,11,92.48745
-2.35,5,92.519529
5.25,23,92.648515
0.2,30,92.870324
-4.45,16,93.028027
-3.3,4,93.072563
-4.3,4,93.121381
3.25,23,93.370566
2.5,17,93.496986
-2.25,4,93.539686
3.85,16,94.021888
-4.1,2,94.047948
-4.1,2,94.07897
-2.8,9,94.214821
0.3,19,94.400136
1.4,8,94.467074
2.1,11,94.548742
1.05,43,94.869439
0.15,11,94.951072
-4.1,2,94.967067
-3.2,3,94.989827
1.3,9,95.047575
1.25,11,95.114758
-1.75,10,95.182594
3.1,12,97.733609
22.6,63,98.182194
-2.95,41,98.415881
9.05,25,98.585387
1.35,18,98.701738
-4.1,2,98.730041
-2.75,9,98.801819
0.9,14,98.890867
-1.15,18,99.016379
-2.45,8,99.089269
-2.75,9,99.170684
5.95,24,99.362281
0.1,11,99.45507
-3.55,27,99.655241
-4.2,3,99.686081
1.55,8,99.770199
0.55,7,99.835513
1.95,14,99.94882
-2.5,6,99.984728
-3.4,5,100.021425
-3.35,5,100.066421
-2.4,5,100.1036
5.2,32,100.623467
-1.4,6,100.661395
-5.1,23,100.805291
-2.85,10,100.889531
-2.6,7,100.952
-1.65,9,101.0188
-4.5,6,101.068657
0.9,25,101.236995
-4.4,5,101.290215
2.25,12,101.561998
-4.35,26,101.856744
0.5,8,101.934104
0.35,9,102.022051
2.4,19,105.629107
-2.9,21,105.804701
2.85,14,105.939281
-1.85,11,106.041845
-0.5,8,106.150606
-3.7,8,106.298522
-2.25,4,106.354187
-2.95,21,106.609786
-0.85,10,106.736007
2.15,11,106.882172
-0.75,10,107.021436
-2.05,12,107.145151
-4.4,5,107.219696
-1.3,5,107.273515
-4.7,8,107.381175
-3.95,21,107.610752
2.9,14,107.792531
1.8,26,108.083449
1.3,19,108.348528
8.35,21,108.604052
-4.2,3,108.632821
-3.35,6,108.723404
-1.4,6,108.807308
-1.5,17,109.020432
2.75,16,109.282468
-1.6,9,109.410767
-2.25,14,110.02292
-2.25,4,110.062253
-2.45,17,110.210793
-4.1,2,110.243133
-4.5,6,110.317223
-1.4,5,110.390553
-3.3,4,110.437066
-1.7,9,110.512798
-4.2,13,110.60787
-4.6,7,110.656285
-3.15,3,110.676997
2.65,17,110.796355
1.65,29,111.043138
0.2,10,111.117366
-4.35,15,111.259678
-0.45,28,111.539068
-1.4,15,114.561525
-2.65,9,114.622583
-2.65,9,114.681533
3.2,13,114.767864
-2.4,6,114.803841
-3.55,7,114.856788
-4.6,7,114.959761
-3.2,3,114.989413
4.4,34,115.23554
1.55,27,115.47226
-1.85,11,115.545745
-1.15,15,115.634407
-3.2,4,115.659374
-3.3,24,115.816137
4.95,13,115.896162
-2.25,4,115.920527
-5.0,11,115.996586
3.2,27,116.171171
9.7,31,116.357113
-0.85,20,116.484442
-1.1,32,116.70169
-2.4,5,116.731685
-1.35,6,117.633483
-4.2,3,117.663361
3.85,25,117.828641
-0.55,7,117.874996
20.2,78,118.401603
-5.15,23,118.561616
-3.1,13,118.648187
-2.3,4,118.677504
-4.6,27,118.844559
-2.35,5,118.879408
0.3,20,121.764634
-1.55,8,121.83966
-4.1,2,121.86658
-2.35,5,121.910136
10.7,29,122.138202
-3.9,11,122.206655
-2.6,18,122.323881
-5.3,14,122.429828
8.45,30,122.616939
-4.7,8,122.672032
-3.2,4,122.705512
