#{"t_start": 1777634231.6859932, "env_id": "crossy-road-notebook/CrossyRoad-v0"}
r,l,t
-2.45,17,0.147368
-6.7,28,0.246292
-5.9,20,0.299553
-6.05,66,0.503225
-4.05,52,0.69445
-3.6,7,0.714214
-6.0,32,0.836033
-4.1,13,0.890655
-5.7,18,0.938685
-4.55,29,1.02984
-2.6,19,1.109443
-4.65,18,1.171725
-5.1,32,1.307459
-4.1,13,1.351499
-3.4,16,1.418088
-4.3,4,1.434599
-5.2,34,1.551775
-3.7,38,1.657789
-2.6,9,1.687801
-3.7,28,1.795783
-5.7,39,6.580552
-2.85,25,6.750907
-3.15,13,6.847393
-6.3,34,7.094787
-7.1,32,7.299678
-3.0,23,7.471325
-5.85,52,7.770494
-5.6,48,8.063135
-3.15,16,8.172557
-4.5,29,8.330327
-2.75,9,8.389062
-5.9,20,8.515297
-4.8,9,8.573358
-2.2,15,8.651052
-3.65,19,8.776289
-0.25,26,9.003276
-5.1,22,9.154002
-11.85,90,17.128237
-5.15,34,20.168024
-4.5,6,20.212751
-2.5,21,20.396194
-4.7,40,20.704337
-4.95,32,20.968747
-2.3,4,21.005818
-1.2,57,21.478351
-6.7,39,21.836134
-1.7,18,21.995222
-7.35,48,22.363611
-3.75,31,22.568574
0.4,40,22.812058
-3.55,7,22.85564
-0.9,14,22.920896
6.75,93,23.48541
-2.85,31,27.207366
-1.5,26,29.425991
-4.4,26,29.559232
-0.65,21,29.669921
-3.65,8,29.722281
-2.95,11,29.779951
-2.5,17,29.872139
-3.05,44,30.172148
1.05,53,30.505211
-4.55,27,30.651883
-3.15,13,30.728937
2.9,19,30.830465
-5.2,13,30.92119
1.65,27,31.085884
0.25,21,31.203014
-0.5,27,31.342732
1.4,12,31.41684
-4.3,14,31.497452
1.75,15,31.611615
-4.25,14,31.713036
-5.1,12,31.791281
-3.05,12,31.869402
-1.2,18,31.998348
-1.85,12,32.064449
-1.95,31,34.327436
-5.9,20,34.501983
-2.45,6,34.550526
-4.1,22,37.856734
-3.5,7,37.911243
-2.55,8,37.963299
-5.7,18,38.110801
-4.8,19,38.30918
-0.05,14,38.437065
-1.6,11,38.511817
-0.4,16,38.603148
-5.4,15,38.693822
-2.3,5,38.726426
1.2,20,38.842443
1.7,37,39.046027
-1.7,29,39.218666
2.55,19,39.327807
-4.6,7,39.370533
-3.15,3,39.390526
-4.1,12,39.460434
-2.05,14,39.54581
-4.6,7,39.586784
-0.2,25,39.727644
-4.0,11,39.799793
-3.5,6,39.83914
-6.3,34,40.015135
-4.4,5,40.051134
-2.85,10,40.114091
-4.2,3,40.132789
-1.45,6,40.179013
-2.2,14,40.270372
-3.8,9,40.328832
-0.75,24,40.500962
8.75,71,41.247659
-4.1,2,41.264044
0.35,19,43.945997
-1.75,11,44.039094
-4.1,2,44.053798
1.2,20,44.189763
-4.6,7,44.233434
-1.9,21,44.365906
3.15,13,44.452028
-2.45,6,44.486027
-3.15,3,44.509044
-3.9,12,44.580998
0.1,21,44.712896
-0.75,9,44.773196
12.25,28,44.970432
-0.9,11,45.040905
-1.65,23,45.188598
-1.0,22,45.323753
-1.35,15,45.414008
-2.1,12,45.502769
-2.35,7,45.556393
-3.35,6,45.594079
-1.5,17,45.697929
1.3,34,45.907781
-1.85,20,46.042155
-2.2,13,46.125833
-0.5,27,46.30336
-3.4,5,46.347211
-2.7,8,46.408837
0.65,17,46.538714
-0.55,8,46.601821
-5.1,12,46.686072
6.95,25,47.169391
3.9,44,47.446254
-2.25,4,47.471565
0.5,9,47.531852
4.8,15,50.19983
-2.95,13,50.298338
-2.75,19,50.413857
-2.4,6,50.455479
-2.25,4,50.486212
-3.15,3,50.516593
-2.65,18,50.621037
-4.7,8,50.665042
-3.15,3,50.683357
-4.8,9,50.741177
-2.1,12,50.814242
-2.55,8,50.868195
0.3,10,50.938152
-4.5,16,51.043386
-4.3,4,51.083618
3.55,20,51.191046
-0.05,24,51.340827
-4.9,20,51.47936
1.5,58,51.854635
1.25,21,51.989079
-2.8,9,52.048088
-4.5,6,52.092064
1.95,34,52.305581
-2.75,22,52.437066
-4.3,14,52.519148
-2.45,19,52.646186
-3.35,5,52.684438
6.0,43,53.300833
7.0,23,53.454478
0.8,15,53.549552
5.7,19,53.721068
-3.55,8,53.780066
-4.7,8,53.83412
-5.4,15,56.565951
1.7,15,56.68626
-4.5,6,56.747719
-4.1,2,56.768793
0.15,11,56.867447
7.55,29,57.081081
-4.4,5,57.119153
-0.4,16,57.257743
-2.5,6,57.30347
-3.25,4,57.334805
3.0,13,57.442559
-3.35,6,57.493106
-2.8,9,57.574117
-2.35,6,57.638288
9.0,26,57.839378
-3.3,4,57.871402
-3.2,3,57.902799
0.05,11,57.985368
-2.95,11,58.068497
3.55,18,58.207273
-3.7,9,58.267231
0.2,21,58.407388
-1.0,14,58.50058
-0.95,11,58.580708
0.3,8,58.629868
-3.2,13,58.731342
8.4,32,59.007658
6.4,31,59.270474
-2.5,6,59.309472
-3.25,4,59.333462
-2.75,9,59.395677
3.25,25,59.529975
-2.8,9,59.583702
1.25,11,59.667504
-3.3,5,59.999531
-1.3,15,60.119286
-4.3,4,60.148039
2.05,14,60.268113
-4.2,3,60.308404
-2.15,13,60.412744
0.2,22,60.574263
5.75,30,63.810186
1.75,26,64.017256
7.3,31,64.216071
0.0,14,64.311893
-3.15,3,64.34191
-0.8,10,64.427482
17.95,46,64.83696
16.45,34,65.06979
-2.25,4,65.102611
-3.25,4,65.127311
-1.55,7,65.166947
-1.7,9,65.224212
1.2,11,65.299906
1.7,15,65.391433
-3.15,3,65.427398
5.35,25,65.627637
-2.95,11,65.744093
-2.9,10,65.824557
-4.2,3,65.86181
-3.4,5,65.902504
2.2,14,66.016986
-2.4,6,66.058423
-3.55,7,66.106946
-3.15,3,66.131798
8.8,36,66.346151
-4.4,5,66.39
-1.5,17,66.543985
-3.5,6,66.589832
-2.45,6,66.637184
8.8,25,66.820759
-4.15,13,67.260139
-3.8,9,67.317524
-2.5,16,67.409199
13.55,31,67.62284
0.45,7,67.676144
-2.25,5,67.72515
3.55,29,70.606245
-0.2,15,70.722876
-4.9,10,70.791556
-3.15,13,70.899297
-4.9,20,71.051938
-4.6,7,71.094904
8.8,28,71.340986
-0.2,13,71.446673
-3.4,6,71.490539
0.95,14,71.633937
-4.6,7,71.69256
-4.3,4,71.730556
-3.2,14,71.854132
1.0,12,71.948102
5.95,24,72.11632
-3.2,4,72.150784
-2.1,23,72.288524
-5.7,18,72.424755
4.3,20,72.542468
2.6,27,72.731042
-2.15,24,72.904174
-1.45,7,72.958256
-0.55,7,72.999961
-1.5,7,73.046776
-3.15,3,73.066654
-0.4,6,73.106279
9.4,28,73.287964
1.5,19,73.429218
-4.3,4,73.455588
-4.2,3,73.485394
-0.7,8,73.899612
-3.2,3,73.935966
-3.2,24,74.112227
0.0,13,74.205185
3.05,23,74.400629
-3.15,3,74.430843
-4.6,7,74.488168
-3.55,7,74.540914
-4.2,3,74.574179
3.0,15,74.683
3.2,20,77.398648
-2.55,8,77.450688
-3.2,3,77.476673
0.4,8,77.539033
-2.0,11,77.622025
-3.15,3,77.647399
-2.25,4,77.681832
10.85,38,77.972451
-0.8,10,78.041776
-4.6,7,78.085917
-0.25,25,78.249898
-3.4,5,78.28727
0.8,16,78.406704
-2.3,4,78.432564
-4.7,8,78.488377
2.3,11,78.564951
-1.45,6,78.601381
9.25,24,78.75054
-4.2,3,78.769661
-2.75,9,78.821854
-1.3,5,78.85086
-2.6,7,78.89779
9.1,23,79.02991
-1.55,10,79.087121
2.4,28,79.256028
1.75,15,79.350213
-0.4,6,79.394554
-2.25,5,79.430545
14.9,36,79.66447
-1.6,18,79.777499
3.6,17,79.900265
-2.0,11,80.356681
2.75,45,80.689232
9.65,39,80.969666
-4.3,4,80.995379
-4.2,3,81.017601
-5.3,14,81.120728
-4.5,6,81.183902
1.05,13,81.304707
7.1,24,84.246077
-2.6,8,84.303494
-3.5,6,84.359134
-4.6,7,84.412257
2.25,12,84.498728
-4.5,17,84.612629
-2.85,10,84.680382
3.95,26,84.867121
-2.6,17,84.96385
2.75,36,85.194584
5.5,29,85.35765
4.2,31,85.547589
-2.4,5,85.588421
-0.2,15,85.694077
-1.1,13,85.77978
-2.7,9,85.841414
-1.75,10,85.906352
-1.65,8,85.962126
-3.05,12,86.043247
0.0,12,86.1147
-0.4,7,86.157744
-3.25,4,86.195016
-1.55,7,86.231478
13.25,53,86.890293
2.0,16,86.992856
-4.85,40,87.232177
4.9,15,87.320919
11.6,28,87.506909
-1.15,14,87.597853
-0.95,42,90.74737
0.15,11,90.842303
-3.45,16,91.028163
-2.15,13,91.143897
3.15,12,91.249331
-2.35,5,91.295521
-2.85,11,91.376383
-4.75,39,91.639233
-0.4,8,91.694114
1.95,12,91.778747
-2.25,15,91.885297
0.25,20,92.055723
0.25,19,92.259647
0.05,12,92.380486
-2.95,11,92.469822
9.15,24,92.615297
6.55,18,92.729642
4.05,16,92.855257
-2.25,4,92.885375
-4.1,2,92.906509
1.6,18,93.095572
1.2,11,93.233347
3.5,23,93.433359
-3.8,19,93.902572
-4.4,5,93.944298
-3.15,3,93.980321
2.25,10,94.140309
11.2,56,94.65015
-4.3,4,94.700668
-2.35,5,94.736717
-3.6,7,94.77918
2.05,12,94.848592
8.6,60,97.732002
5.1,22,97.884809
0.95,24,98.058844
-5.0,11,98.142826
-2.15,14,98.231419
-1.7,8,98.277682
-1.9,31,98.457512
0.0,14,98.54406
