#{"t_start": 1777634231.6929932, "env_id": "crossy-road-notebook/CrossyRoad-v0"}
r,l,t
-5.6,50,0.257937
-7.7,51,0.413519
-4.5,6,0.429563
-1.05,15,0.458146
-7.9,50,0.656893
-4.6,7,0.673451
-2.55,9,0.700205
-6.8,39,0.859113
-1.05,33,0.95821
-4.75,19,1.009824
-4.3,15,1.075416
-4.0,47,1.264174
-5.8,33,1.38905
-2.9,12,1.440107
-7.0,31,1.538274
-4.9,10,1.577813
-6.4,35,1.664331
-2.85,33,1.800293
-2.05,33,6.552464
-5.9,20,6.666179
-4.5,26,6.876456
-7.0,51,7.219425
-4.9,30,7.435285
-4.6,7,7.48444
-5.55,27,7.630648
-6.8,39,7.875998
-0.15,44,8.149018
-4.8,21,8.26141
-3.45,17,8.356444
-6.4,25,8.526316
-3.1,63,8.963266
-5.15,23,9.122926
-4.05,13,9.202174
-4.0,11,9.271266
-7.2,64,17.082638
-4.2,23,20.053015
0.5,17,20.174049
-4.9,10,20.246477
-5.15,34,20.556311
-2.9,21,20.685297
0.4,19,20.851811
-3.55,38,21.146618
-3.3,15,21.276289
1.65,29,21.548809
-3.55,17,21.689891
-3.0,15,21.837429
-3.3,45,22.166513
-3.65,8,22.239304
-1.9,12,22.342584
-5.2,13,22.444838
-12.9,90,22.975208
-5.4,38,23.195621
-0.1,35,23.401666
-1.0,15,27.034555
-4.65,19,27.155972
-4.2,3,27.178841
-1.9,50,29.519213
-2.1,66,29.893186
2.05,31,30.09205
0.0,22,30.246779
-2.75,32,30.446085
-3.05,14,30.530822
0.65,30,30.687056
-4.3,25,30.831499
-1.6,9,30.894153
-2.8,10,30.96623
-0.95,22,31.095888
-4.65,18,31.188002
0.45,8,31.232616
-4.7,38,31.448408
-3.45,16,31.555625
-1.0,14,31.652797
-4.9,10,31.729574
-2.25,14,31.816286
-0.75,9,31.880938
-4.8,9,31.944109
-0.75,10,32.012375
-4.3,25,34.213414
-5.3,14,34.307926
-4.1,2,34.341984
-2.25,4,34.379613
-5.55,27,37.738319
-3.6,7,37.781088
2.95,30,38.002658
-4.15,13,38.134491
-4.1,2,38.166935
-1.75,20,38.349651
-2.35,5,38.393986
-0.35,16,38.510262
-0.2,27,38.657621
-4.9,10,38.728271
-3.3,4,38.751251
5.7,17,38.850802
0.05,16,38.94524
-4.5,6,38.9779
-5.3,14,39.053922
-4.7,8,39.096032
-4.1,2,39.111033
-3.1,25,39.251508
-2.95,22,39.388532
-5.1,12,39.458443
-2.55,17,39.556785
0.45,29,39.724761
-4.1,2,39.740129
-0.45,6,39.770856
-3.5,7,39.815252
-4.3,4,39.851262
3.35,22,39.955001
5.1,23,40.088555
-2.9,10,40.161497
-0.45,6,40.206896
-3.35,5,40.237075
0.3,32,40.44887
-2.5,6,40.509558
-3.2,13,40.616009
0.2,11,40.96789
-2.35,5,41.002688
0.35,9,41.061458
-4.8,19,41.166977
-1.0,12,41.232206
-6.1,22,43.944999
-3.5,6,43.991814
-2.6,7,44.052551
-4.9,10,44.118014
-2.95,21,44.253849
-2.8,10,44.312912
-1.2,17,44.425286
4.1,33,44.622961
-1.8,11,44.697886
-4.2,3,44.726831
-2.6,27,44.909121
0.9,15,45.007419
5.9,15,45.112673
9.1,27,45.277757
-3.7,8,45.327225
0.7,17,45.427724
-2.5,6,45.475547
-2.55,18,45.601544
-1.35,16,45.700948
-5.0,11,45.761331
-2.3,6,45.801099
-3.15,3,45.820946
7.75,19,45.949709
0.85,16,46.049284
-3.15,3,46.074606
-4.2,25,46.22788
-4.1,2,46.246997
-1.7,11,46.319732
-4.3,4,46.360325
-2.25,15,46.475759
0.5,22,46.638907
0.5,9,46.703964
2.4,9,46.752796
-0.25,17,47.20045
-0.6,32,47.383565
-4.2,3,47.404732
-4.45,16,47.510902
2.75,26,50.253919
-3.15,3,50.280673
-2.8,10,50.350747
0.25,10,50.412762
0.1,11,50.496008
-2.3,5,50.533796
13.95,40,50.768849
-0.5,9,50.823541
-0.8,11,50.898285
0.25,9,50.960386
3.4,41,51.215052
-1.25,16,51.314426
-3.65,8,51.369846
-0.9,11,51.447517
0.25,11,51.528322
-0.95,13,51.611576
-4.05,12,51.680481
2.35,23,51.827935
-4.2,13,51.907934
-2.7,8,51.95901
-1.8,11,52.03308
-3.2,3,52.062106
-4.4,5,52.096088
-4.1,2,52.11398
6.65,28,52.274835
-1.2,14,52.359314
-0.6,37,52.585417
-3.65,8,52.64955
-1.3,15,52.748246
-4.3,4,52.77617
6.0,35,53.338038
-4.1,2,53.353318
-4.9,10,53.421738
-0.7,9,53.480088
-1.7,10,53.549767
-4.8,9,53.630253
-1.25,5,53.672834
12.35,44,56.623152
-4.1,2,56.644788
-0.8,11,56.746016
-2.0,12,56.850883
-1.95,11,56.932938
-4.7,8,56.991626
-4.4,5,57.028243
-1.35,15,57.15371
-1.3,5,57.194012
-4.1,2,57.213021
-3.8,9,57.278489
1.9,25,57.498199
-2.15,13,57.608587
-4.1,2,57.638626
-4.1,2,57.6553
-1.35,5,57.690964
-4.3,4,57.72402
0.45,10,57.796493
-4.1,2,57.812196
1.15,13,57.91732
1.05,13,58.022832
-4.05,12,58.108495
-4.3,4,58.143125
1.2,11,58.226274
-3.8,9,58.288594
4.35,22,58.429348
0.3,12,58.517562
-1.45,7,58.560353
