#{"t_start": 1777634231.6929932, "env_id": "crossy-road-notebook/CrossyRoad-v0"}
r,l,t
-2.35,7,58.601535
4.45,19,58.750212
-3.8,19,58.906231
-4.2,3,58.939002
0.0,12,59.053174
-1.75,9,59.135872
-3.25,4,59.177016
8.8,27,59.353932
0.0,55,59.997529
-0.95,11,60.07896
-2.1,13,60.193012
-1.6,11,60.290073
-4.3,4,60.330825
-0.35,6,60.375427
-4.4,18,60.511746
-4.3,14,60.614221
-3.6,7,60.658748
3.1,13,63.761452
-1.3,5,63.815175
-4.1,2,63.833815
-4.1,2,63.855403
1.0,15,63.960667
-4.3,4,63.994397
-2.25,5,64.031541
-4.0,11,64.107533
-4.5,6,64.14728
4.15,13,64.225366
-4.1,2,64.241754
-3.4,5,64.27411
-2.5,17,64.40902
-0.65,8,64.478596
-0.2,14,64.596584
-3.3,14,64.738999
7.1,35,64.993022
-2.8,9,65.052669
-4.1,2,65.074981
3.3,19,65.191403
-5.0,11,65.267162
-1.0,11,65.337689
1.2,10,65.409136
-3.15,3,65.439849
-4.7,8,65.506768
-0.8,10,65.58061
-3.4,5,65.627995
-4.5,6,65.684205
-3.2,3,65.715999
-4.1,2,65.745884
-2.75,10,65.824309
-2.6,7,65.886031
-0.6,8,65.957242
-0.3,6,65.99998
3.95,13,66.091212
-0.05,43,66.360232
-0.65,9,66.44409
-4.2,3,66.473362
8.95,26,66.673907
0.4,19,66.833218
1.5,8,67.225512
-3.5,6,67.267974
-0.7,11,67.337339
8.15,22,67.466897
6.3,21,67.622
0.45,8,67.686156
-0.05,12,67.769826
-2.85,11,67.836333
-1.3,14,70.63532
0.2,13,70.733906
-0.75,10,70.803452
-1.6,10,70.879284
-3.15,3,70.913279
-1.5,6,70.959898
6.9,29,71.183515
-4.3,4,71.215624
2.65,15,71.343301
-2.3,5,71.376369
-1.45,17,71.524701
-4.6,7,71.591889
4.85,16,71.741671
-2.05,12,71.85413
-0.45,7,71.908714
-1.8,9,71.975494
-4.1,2,71.991655
-0.2,15,72.089321
-4.4,5,72.128933
2.7,35,72.362337
-1.4,6,72.403238
6.0,46,72.697443
0.3,18,72.827519
-0.2,15,72.941123
-4.7,8,72.999076
-3.1,12,73.076341
19.8,58,73.485463
-3.8,9,73.904796
-3.2,4,73.948877
2.4,10,74.017291
-2.2,4,74.049598
2.5,18,74.175702
-2.25,5,74.215396
-1.75,9,74.280422
-4.7,8,74.354811
-4.1,2,74.375556
-2.9,11,74.470582
-4.6,7,74.523574
-4.1,2,74.545403
-3.75,9,74.616369
2.05,12,74.713534
3.65,27,77.481854
3.85,34,77.738895
-0.55,8,77.808891
-4.1,12,77.900226
-1.35,15,78.001528
0.6,16,78.107423
-3.2,3,78.128403
-4.6,7,78.170021
-0.6,8,78.219529
-4.4,5,78.259955
-2.3,5,78.296533
-3.15,3,78.323798
-4.5,6,78.365911
-4.1,2,78.381383
3.7,17,78.502699
8.0,26,78.662623
5.45,19,78.782549
15.85,63,79.145389
-0.7,9,79.206023
5.6,20,79.322329
-3.35,5,79.365323
-1.3,15,79.47729
-3.15,3,79.496297
-1.7,21,79.614547
-4.1,2,79.63423
-2.25,4,79.667081
0.4,9,79.719204
-2.35,5,79.748729
-1.95,11,79.831046
-1.65,22,80.365801
-4.2,3,80.403003
4.15,21,80.557497
1.05,21,80.698213
-3.75,9,80.757919
-4.5,6,80.799046
-3.15,3,80.828131
1.55,17,80.941649
0.15,11,81.026639
-4.2,3,81.049802
-4.5,6,81.092487
-5.9,20,81.279699
9.2,24,84.220083
-4.2,3,84.249055
-3.6,39,84.537041
0.55,8,84.590275
-5.7,18,84.708882
-2.2,4,84.748166
-1.6,10,84.819129
-4.2,3,84.840115
-1.0,23,84.983057
5.3,21,85.105879
3.65,29,85.279956
-3.3,4,85.304505
-0.2,13,85.385748
-4.1,2,85.401659
-4.3,4,85.424851
1.15,22,85.562172
-3.2,3,85.587164
-1.3,5,85.62211
-4.4,5,85.656133
19.2,79,86.178701
5.0,14,86.261827
4.85,14,86.349621
-1.25,15,86.426268
2.2,10,86.493517
-2.35,5,86.862895
-0.3,18,86.977212
-4.1,2,87.00134
1.2,11,87.05669
-4.4,5,87.084769
-1.85,10,87.141874
-4.1,2,87.157973
-5.2,13,87.245176
-3.85,20,87.354132
4.65,17,87.465457
8.3,22,87.618515
-4.1,2,87.636592
-0.4,6,87.677596
-2.3,4,87.708738
2.2,11,90.597282
-1.5,8,90.668303
-2.45,6,90.721448
-4.1,2,90.756587
-1.35,5,90.797904
8.45,41,91.190341
-0.55,8,91.272496
8.1,36,91.533258
-0.85,10,91.596273
-4.1,2,91.609846
2.45,21,91.744721
-5.1,12,91.841914
-0.4,7,91.891238
-0.25,15,92.009896
-2.25,4,92.066388
-3.0,12,92.190337
-3.65,8,92.26968
-3.3,4,92.304361
-3.25,4,92.343451
-2.8,9,92.429024
4.9,13,92.522527
-3.5,38,92.754898
-4.45,16,92.883667
0.95,13,92.995732
-4.05,12,93.152652
-3.15,3,93.187464
0.25,10,93.29802
-1.35,7,93.355661
5.5,27,93.877793
-4.8,9,93.986317
-0.85,11,94.158747
-1.9,10,94.28316
0.1,10,94.368647
8.5,30,94.602157
-2.4,5,94.649152
-4.2,3,94.681521
-1.9,21,94.816957
-2.35,5,94.856699
-4.1,2,94.876201
-1.7,8,94.925301
-1.85,11,95.014297
2.6,18,95.127395
-3.55,7,95.167793
-4.1,2,95.191203
0.4,9,97.707957
-2.65,8,97.772484
1.3,10,97.835066
-1.35,15,97.945041
-2.5,6,97.985485
-2.25,4,98.016774
-1.3,5,98.057892
-2.35,5,98.09613
-4.6,7,98.147861
-5.3,24,98.293782
-2.8,10,98.348167
-4.3,14,98.426893
1.05,14,98.506358
-4.3,4,98.541896
-3.2,3,98.562514
-3.35,5,98.600271
-1.35,5,98.634162
0.55,8,98.681918
-3.2,3,98.709014
-4.2,3,98.7448
2.8,37,98.996918
-2.6,7,99.059265
0.3,9,99.129737
-4.1,2,99.15808
-3.2,3,99.186471
-4.1,2,99.210146
-0.6,9,99.275072
0.8,14,99.384266
-4.3,14,99.500968
2.25,9,99.559978
6.5,19,99.725575
-4.05,13,99.853744
-1.4,7,99.907712
1.65,17,100.033077
-4.6,17,100.166819
8.0,34,100.68501
1.7,25,100.841415
-4.3,4,100.892292
-2.3,4,100.927896
-1.1,14,101.032837
-1.7,9,101.099716
-1.6,8,101.145142
-0.55,7,101.196227
2.2,11,101.306469
-2.4,5,101.416718
-4.9,10,101.625804
1.8,25,101.887348
-4.1,14,102.031059
-0.9,22,105.652307
-1.75,9,105.739784
2.75,16,105.858844
2.35,19,106.056115
-4.1,2,106.082942
-1.35,16,106.328479
8.4,32,106.740083
-1.9,11,106.888705
-2.7,8,106.986583
0.15,11,107.096941
3.9,25,107.433429
3.45,18,107.639791
0.05,23,107.924152
-2.5,17,108.105549
-4.2,13,108.270805
-2.3,5,108.353523
-2.75,9,108.455163
-4.1,2,108.480114
-1.3,14,108.651532
-5.1,12,108.823411
-1.05,13,108.971539
-4.2,3,109.027985
-0.2,14,109.252377
-3.2,3,109.31407
-3.8,9,109.428822
-4.1,2,109.452512
-1.35,17,110.0806
-0.35,37,110.47507
-0.4,6,110.52905
-0.9,11,110.60988
1.65,16,110.714616
-4.1,2,110.73097
-0.25,24,110.91059
-2.7,9,110.99562
-2.7,10,111.084084
5.9,14,111.191263
-3.65,8,111.286089
-0.45,6,111.364563
-6.6,27,111.595047
0.35,9,114.568169
1.8,59,115.044717
-5.0,11,115.123589
3.1,24,115.289407
-3.45,7,115.358337
-4.1,2,115.377187
-4.2,3,115.410213
-1.5,7,115.457188
-0.75,41,115.721193
4.55,17,115.838353
-1.6,22,115.967894
-3.25,4,116.004577
-1.9,21,116.137399
-4.85,30,116.306757
5.35,32,116.526443
-4.1,2,116.552188
0.0,12,116.62228
-2.5,7,116.669719
3.7,56,117.906719
-4.8,9,117.956464
-2.4,5,117.992205
-1.3,5,118.022638
1.5,8,118.078048
-4.25,14,118.175572
-1.5,7,118.21781
-0.7,8,118.282132
0.05,11,118.353662
9.0,24,118.52166
-1.95,11,118.600295
-3.4,16,118.715128
-4.7,8,118.763034
-1.3,15,118.851038
-2.25,14,121.685684
-3.15,3,121.709399
-2.0,12,121.80853
0.0,13,121.933681
-4.7,8,121.998346
-4.2,3,122.020441
-0.9,11,122.105127
6.25,21,122.246353
-3.75,19,122.375495
-3.5,6,122.416472
-1.65,8,122.472367
0.2,10,122.535582
6.05,23,122.687037
-4.2,3,122.71249
-4.1,2,122.726488
-4.1,2,122.741511
-1.65,8,122.792968
-3.4,6,122.827179
-4.6,17,122.92708
-1.45,16,123.034353
-1.25,14,123.119025
5.55,23,123.261979
-1.45,27,123.441773
-3.7,8,123.491333
-2.25,24,123.808959
2.95,25,124.661965
5.1,13,124.762428
-4.8,19,124.884148
-4.4,5,124.927776
-4.2,3,124.95378
-2.3,6,124.989775
-4.3,14,125.081158
-1.7,10,125.144546
-0.35,6,125.188969
-0.55,7,125.24945
-1.6,8,125.316172
7.1,37,125.544184
-0.65,8,125.592083
1.3,12,125.661938
-2.4,5,125.694916
-2.05,12,125.760022
-2.9,12,125.836206
-2.0,12,125.911867
3.25,12,128.563493
-2.2,4,128.597505
-8.3,44,128.891184
-4.2,3,128.918119
-0.8,10,128.980347
-2.8,29,129.16515
-1.45,6,129.21114
-2.8,10,129.274036
-3.75,9,129.328593
-3.25,4,129.353184
-2.3,15,129.445073
-4.2,3,129.464984
5.55,20,129.57479
-2.85,10,129.639802
-4.1,2,129.654263
7.25,31,129.868973
-4.1,2,129.887607
-0.3,15,129.977566
-0.7,8,130.031699
1.65,26,130.210949
-2.85,10,130.273778
2.5,20,130.415365
-1.45,6,130.451623
-3.4,5,130.809261
4.0,14,130.915337
-3.2,3,130.934747
-1.4,7,130.990554
-2.55,7,131.032305
2.2,22,131.171827
23.05,61,131.584254
-2.55,7,131.635401
-4.1,2,131.65378
-4.2,3,131.69158
-0.85,10,131.785254
-3.8,9,131.853509
5.9,47,132.257092
-3.4,5,132.301361
-5.0,21,135.088347
-2.25,15,135.200864
-0.4,6,135.253216
-4.5,6,135.290333
2.15,20,135.403958
-1.45,7,135.452894
-0.65,8,135.506387
1.7,18,135.617709
-4.3,14,135.7022
4.4,21,135.831217
-2.9,10,135.901698
2.85,14,135.992955
-4.45,16,136.104749
4.4,43,136.382144
12.45,33,136.610631
0.15,11,136.683928
-4.2,3,136.714677
-2.85,30,136.909638
-3.3,4,137.252181
-1.45,6,137.305016
-4.2,3,137.327744
-0.55,9,137.387314
1.45,9,137.457405
-4.4,5,137.495368
-4.3,4,137.521021
-3.7,8,137.582785
5.9,15,137.677276
-1.55,7,137.718274
-3.6,7,137.768017
6.75,55,138.132643
4.5,30,138.334525
1.55,17,138.450738
-2.4,6,138.501259
-4.3,4,138.528275
0.3,9,138.590867
-1.55,28,138.764295
-0.9,12,141.733146
2.55,17,141.855925
1.15,11,141.947024
-3.6,17,142.055458
-0.65,19,142.189948
-3.35,15,142.300061
-2.75,10,142.370436
-4.2,3,142.391635
-1.3,5,142.430053
-3.5,6,142.47399
1.9,34,142.685117
-0.6,8,142.728861
0.25,19,142.847257
-4.3,4,142.874174
0.3,9,142.946143
5.65,18,143.074311
-2.35,5,143.104834
6.95,47,143.412448
-0.7,21,143.956342
1.15,11,144.03517
-3.15,3,144.067286
-3.25,4,144.100339
-2.2,13,144.187328
2.7,16,144.291701
-4.6,7,144.335781
-4.2,3,144.360809
-1.95,12,144.450889
3.35,10,144.513664
-1.55,7,144.566501
-0.5,16,144.673235
-4.4,15,144.769165
11.45,23,144.944419
1.45,8,145.001755
7.85,25,145.179184
1.75,17,145.282809
1.95,14,145.379924
-2.75,9,145.44448
10.1,35,148.368927
-3.25,4,148.397859
3.65,18,148.518539
6.45,21,148.647975
1.25,10,148.725667
1.65,16,148.838974
4.2,12,148.922331
-2.25,4,148.948151
4.25,20,149.076079
-2.4,5,149.112976
-1.25,25,149.281083
-4.1,2,149.302096
3.25,11,149.380667
-1.55,7,149.425984
-3.45,6,149.460894
-2.85,10,149.529508
-0.45,16,149.626704
1.7,25,149.778618
-1.85,10,149.847889
-2.6,7,149.886427
-0.65,8,149.935422
-0.45,6,149.978628
-4.3,4,150.007953
-5.95,31,150.454547
-1.95,12,150.537029
0.45,17,150.638099
5.1,13,150.738422
-3.15,3,150.763004
-4.3,4,150.79936
-2.1,23,150.998427
0.5,17,151.118499
-4.3,4,151.150872
-3.7,8,151.207286
2.05,32,151.457182
0.8,37,151.685815
1.4,20,151.904832
3.95,14,152.008303
0.15,11,152.079215
-2.45,6,152.127569
10.2,23,155.744179
-2.6,7,155.819404
-4.0,12,155.92535
1.1,12,156.008818
-3.45,6,156.054251
-2.9,11,156.140164
-3.3,4,156.167621
-3.15,3,156.200426
3.1,12,156.285972
6.2,24,156.447396
-4.2,3,156.468589
-2.0,11,156.542204
2.75,15,156.645675
4.8,16,156.756728
-1.65,19,156.87175
1.4,19,157.025113
0.6,15,157.136302
4.6,18,157.265426
-4.3,4,157.295425
-0.75,10,157.35603
1.25,9,157.728936
-3.35,5,157.770858
8.95,26,157.932345
4.2,23,158.09302
13.0,28,158.306546
-2.5,7,158.352446
6.7,26,158.545089
-3.25,4,158.571299
3.65,17,158.695211
-2.6,7,158.743651
-3.8,10,158.810436
0.2,21,158.96152
-2.55,7,159.020202
-1.35,5,159.051842
-1.85,11,159.149846
-1.95,11,159.250756
-3.5,6,159.293128
7.75,18,159.43093
-0.45,6,159.477816
-1.8,19,159.625507
-1.3,6,162.491348
-0.45,6,162.53836
-4.7,8,162.582515
-2.35,17,162.694983
-4.3,14,162.773905
-3.65,8,162.823467
-2.3,5,162.862829
2.3,29,163.074251
-2.25,4,163.108474
-1.3,16,163.25192
-1.15,13,163.360933
-1.55,7,163.430344
-4.3,4,163.473339
-2.25,4,163.532172
-3.15,3,163.555255
-2.5,6,163.598771
-5.55,27,163.816129
-0.65,8,163.868193
-1.35,15,163.992408
0.1,12,164.084002
-3.0,11,164.179068
1.95,22,164.629558
-0.3,14,164.730625
0.5,8,164.78967
-3.6,7,164.84642
-1.55,8,164.912589
-3.15,3,164.942925
-2.6,18,165.06561
-3.8,9,165.135676
2.75,46,165.45889
-2.3,6,165.499876
-1.35,5,165.537841
-3.7,8,165.579607
-4.3,4,165.607016
1.3,19,165.725602
-3.35,5,165.77092
-5.3,14,165.875292
3.9,16,165.969875
-0.35,15,166.070047
13.95,27,166.242373
-2.25,5,166.281359
-1.1,23,166.410212
-1.4,16,169.062311
-0.8,13,169.157453
-2.4,6,169.202101
-3.9,10,169.258767
5.55,20,169.398666
-3.2,3,169.423812
-2.6,7,169.475083
-0.6,9,169.537202
-1.2,25,169.692462
1.45,8,169.753252
1.5,8,169.799526
-3.3,4,169.829992
0.05,14,169.916827
-2.4,5,169.964041
2.55,17,170.072899
-4.2,3,170.105359
-4.9,10,170.175135
-2.5,6,170.222359
4.85,15,170.352645
1.15,12,170.452284
-2.35,5,170.494339
-4.1,2,170.513613
-0.6,8,170.581254
-4.2,3,170.603871
-2.3,5,170.640881
-4.7,8,171.095319
-0.5,8,171.157321
-4.2,3,171.183793
-4.7,18,171.341213
-0.5,17,171.474871
1.75,17,171.605349
4.85,14,171.725134
5.8,16,171.83829
-4.2,3,171.861513
-3.4,5,171.913244
-3.4,5,171.953466
-2.25,4,171.980008
-0.7,10,172.052351
-0.65,18,172.179766
-2.4,7,172.250833
0.15,12,172.334375
-1.9,10,172.408439
-2.1,12,172.499108
9.8,27,172.691876
-3.35,5,172.738916
-3.3,4,172.767979
-4.1,2,172.782264
12.55,32,173.001678
-1.7,9,173.063509
-4.5,16,173.310682
-3.5,6,173.367755
3.95,13,176.077054
-3.3,4,176.121104
-1.9,10,176.187617
-4.6,7,176.241557
-1.85,10,176.330715
-2.5,17,176.453073
-2.25,4,176.491725
-1.3,5,176.530832
-0.45,18,176.672338
-0.5,7,176.732443
-2.7,19,176.856512
9.2,25,177.039653
-2.4,6,177.091953
-3.1,23,177.256449
1.75,16,177.385784
-2.0,22,177.539941
15.35,89,179.054533
-2.55,17,179.17568
-3.8,9,179.237117
-1.35,6,179.276734
4.0,14,179.378516
-5.5,26,179.573651
-0.35,6,179.62284
-2.7,9,179.682618
-1.5,7,179.74051
-3.25,4,179.77065
-4.8,9,179.853562
0.4,9,179.931944
15.6,52,180.297839
0.4,9,180.358333
-2.5,6,180.396196
-1.05,13,180.482145
-3.15,3,180.506753
1.1,21,183.572931
-3.7,8,183.635651
6.4,22,183.807832
-1.35,25,183.975034
-2.45,16,184.091225
-4.2,3,184.129803
-0.4,7,184.193765
-2.75,10,184.270584
2.0,13,184.352954
1.85,14,184.475574
-2.3,14,184.588578
5.45,21,184.753124
-1.75,10,184.824025
15.05,37,185.658416
-3.0,11,185.747351
-4.5,6,185.807601
-1.45,6,185.863952
8.75,26,186.067475
-0.65,9,186.158131
17.55,33,186.523081
0.2,31,186.813764
5.85,15,186.93775
-2.25,4,186.973718
-3.45,6,187.030825
-4.0,21,187.202411
-1.5,7,187.267663
-4.1,2,187.285142
-3.8,9,187.351217
-3.4,6,187.399837
5.35,40,187.687183
16.9,37,187.983612
-2.5,7,188.037854
1.05,13,188.142013
-4.9,10,188.223318
-0.9,11,191.387889
-4.5,6,191.42136
-1.8,10,191.495538
-2.25,5,191.528781
10.0,26,191.710995
0.5,7,191.758977
-2.35,5,191.793319
-1.5,7,191.839032
-3.15,3,191.874487
3.3,10,191.955366
-3.95,21,192.160161
-2.7,8,192.224263
-3.5,6,192.273522
0.1,11,192.369365
-4.2,3,192.398093
-2.55,7,192.458941
-1.25,5,192.504458
-2.4,5,192.542215
-3.25,4,192.570094
1.85,15,192.670821
-2.3,4,192.695923
-3.2,3,192.723555
2.1,34,193.215481
-0.55,7,193.257554
-1.55,8,193.306622
-2.35,5,193.348839
-4.5,6,193.3948
-2.4,6,193.439547
-3.1,12,193.524494
4.0,24,193.704491
4.9,19,193.843946
-3.2,4,193.878295
-3.05,12,193.966484
-0.45,7,194.019623
6.15,13,194.130799
-2.3,14,194.254046
-3.15,3,194.275882
-3.85,20,194.421214
-1.45,16,194.52413
7.7,17,194.649132
4.75,36,194.896748
-2.3,4,194.923809
-4.4,5,194.967608
-2.3,5,195.005105
-4.4,5,195.04056
-2.1,12,195.111687
-3.4,5,195.146181
-0.6,10,195.218342
5.65,17,195.331756
-4.5,16,198.643286
-3.2,3,198.68211
-2.3,16,198.825215
-4.8,9,198.888415
-1.5,18,199.051298
4.65,18,199.206578
4.2,11,199.330499
12.1,38,199.657151
3.25,11,199.746151
0.3,18,199.906449
-4.3,4,199.946392
1.85,15,200.070581
-2.0,11,200.165361
-2.6,8,200.642183
-4.1,2,200.669315
-1.05,12,200.798778
1.6,28,201.033976
-0.75,40,201.352083
-3.2,3,201.380177
1.1,31,201.608281
-4.7,28,201.812322
-1.4,6,201.851965
3.8,16,201.973763
-2.0,11,202.061287
6.55,28,202.281447
8.6,39,202.55473
-4.8,9,202.634767
-4.4,5,202.679888
-3.2,3,202.709292
-1.95,13,202.818681
6.6,29,203.038186
0.9,13,203.160589
-3.3,14,203.273628
-1.65,9,206.427107
4.45,32,206.644087
-5.2,13,206.740203
-3.65,8,206.793759
1.8,14,206.90566
-3.8,19,207.03863
-2.4,6,207.098969
-2.45,6,207.140173
0.9,17,207.260936
-1.0,12,207.364337
3.9,15,207.496625
-4.2,3,207.537128
-4.1,2,207.572102
-1.55,8,207.655001
-2.5,16,208.213378
-3.15,3,208.251306
-1.5,7,208.294999
-3.75,19,208.43303
1.7,26,208.628229
-6.0,21,208.781708
-2.05,12,208.886934
1.45,22,209.047747
11.2,34,209.29308
-1.1,13,209.425559
0.8,17,209.590003
-2.35,5,209.650197
-4.7,8,209.740515
-2.5,6,209.807177
-0.4,8,209.874829
1.05,21,210.055786
-5.6,27,210.253359
-0.2,26,210.469065
2.15,20,210.670973
-2.5,7,210.768292
-3.15,3,210.798054
-0.55,27,211.010096
5.45,30,214.30039
-0.1,14,214.414306
-1.05,13,214.516444
-1.65,9,214.589844
2.0,13,214.71829
-4.1,2,214.741076
-3.85,10,214.808471
-2.15,25,215.000765
-1.4,6,215.040403
-1.9,11,215.110417
0.65,17,215.230788
3.1,22,216.406566
6.8,26,216.597195
-2.5,6,216.646693
1.95,13,216.780837
-3.3,14,216.918499
2.25,10,217.008465
-1.55,8,217.092461
3.5,17,217.258373
-3.5,6,217.31442
1.85,24,217.489055
-1.35,5,217.534329
-2.4,5,217.567464
2.0,33,217.826615
-2.5,18,217.967233
4.85,26,218.176333
-2.65,8,218.236036
2.8,15,218.380407
2.8,35,218.670526
0.45,7,218.73101
-3.25,4,218.768875
-3.95,21,218.920094
0.6,17,219.04395
-1.25,14,219.154604
-3.55,18,222.34448
-2.4,6,222.395387
2.65,17,222.528348
5.15,23,222.712846
0.35,9,222.790053
-3.0,12,222.903475
-1.6,8,222.968087
1.3,20,223.125962
-2.1,13,223.233922
-2.8,9,223.319342
-2.45,6,223.370145
7.1,31,224.218664
0.1,14,224.32869
-2.25,4,224.36335
-0.8,12,224.480205
-4.2,3,224.513124
6.4,30,224.770434
-1.0,12,224.894877
3.4,19,225.062968
-4.1,2,225.094746
-1.4,6,225.15256
1.55,17,225.29155
6.0,16,225.430122
-3.25,4,225.467783
-3.05,12,225.582308
-1.25,5,225.631779
-2.35,6,225.683247
5.7,29,225.938942
0.5,7,226.000594
-4.9,10,226.114546
6.15,34,226.37266
0.75,14,226.475701
-2.7,8,226.551089
-1.1,14,226.686699
-4.5,6,226.737739
-4.1,2,226.762575
5.1,24,226.944381
-2.4,6,227.012886
-0.25,18,227.170599
-5.2,13,227.307562
0.6,17,231.061268
0.15,11,231.195247
-2.25,16,231.331871
6.05,34,231.648511
2.7,15,231.788312
-4.3,4,231.827984
-3.25,4,231.91289
-3.35,5,231.95842
3.2,21,232.161947
1.9,14,233.641735
-4.1,2,233.66913
-0.1,13,233.783469
-0.65,9,233.877725
-3.4,5,233.940834
-3.9,10,234.055336
-4.9,10,234.161059
-3.15,14,234.301155
-2.55,7,234.373051
8.55,40,234.725316
-1.25,15,234.881011
2.9,15,235.02497
-4.2,3,235.053316
-0.1,15,235.178741
-0.75,10,235.287269
0.9,25,235.533201
-0.55,8,235.621768
-2.8,9,235.699291
0.45,59,236.256549
-2.4,6,236.313609
2.3,41,236.650499
2.4,19,236.806548
-3.2,13,236.933965
